run,algorithm,f1_score,accuracy,precision,recall
1,GA,0.9333333333333333,0.8974358974358975,0.9032258064516129,0.9655172413793104
1,GWO,0.9491525423728814,0.9230769230769231,0.9333333333333333,0.9655172413793104
2,GA,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
2,GWO,0.9491525423728814,0.9230769230769231,0.9333333333333333,0.9655172413793104
3,GA,0.9354838709677419,0.8974358974358975,0.8787878787878788,1.0
3,GWO,0.9354838709677419,0.8974358974358975,0.8787878787878788,1.0
4,GA,0.9508196721311475,0.9230769230769231,0.90625,1.0
4,GWO,0.9824561403508771,0.9743589743589743,1.0,0.9655172413793104
5,GA,0.9491525423728814,0.9230769230769231,0.9333333333333333,0.9655172413793104
5,GWO,0.9473684210526315,0.9230769230769231,0.9642857142857143,0.9310344827586207
6,GA,0.8852459016393442,0.8205128205128205,0.84375,0.9310344827586207
6,GWO,0.9152542372881356,0.8717948717948718,0.9,0.9310344827586207
7,GA,0.896551724137931,0.8461538461538461,0.896551724137931,0.896551724137931
7,GWO,0.9508196721311475,0.9230769230769231,0.90625,1.0
8,GA,0.9491525423728814,0.9230769230769231,0.9333333333333333,0.9655172413793104
8,GWO,0.9122807017543859,0.8717948717948718,0.9285714285714286,0.896551724137931
9,GA,0.9354838709677419,0.8974358974358975,0.8787878787878788,1.0
9,GWO,0.9473684210526315,0.9230769230769231,0.9642857142857143,0.9310344827586207
10,GA,0.9,0.8461538461538461,0.8709677419354839,0.9310344827586207
10,GWO,0.9491525423728814,0.9230769230769231,0.9333333333333333,0.9655172413793104
11,GA,0.7777777777777778,0.6923076923076923,0.84,0.7241379310344828
11,GWO,0.9180327868852459,0.8717948717948718,0.875,0.9655172413793104
12,GA,0.9508196721311475,0.9230769230769231,0.90625,1.0
12,GWO,0.8928571428571429,0.8461538461538461,0.9259259259259259,0.8620689655172413
13,GA,0.9491525423728814,0.9230769230769231,0.9333333333333333,0.9655172413793104
13,GWO,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
14,GA,0.8363636363636363,0.7692307692307693,0.8846153846153846,0.7931034482758621
14,GWO,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
15,GA,0.9354838709677419,0.8974358974358975,0.8787878787878788,1.0
15,GWO,0.9152542372881356,0.8717948717948718,0.9,0.9310344827586207
16,GA,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
16,GWO,0.9508196721311475,0.9230769230769231,0.90625,1.0
17,GA,0.9655172413793104,0.9487179487179487,0.9655172413793104,0.9655172413793104
17,GWO,0.9508196721311475,0.9230769230769231,0.90625,1.0
18,GA,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
18,GWO,0.9354838709677419,0.8974358974358975,0.8787878787878788,1.0
19,GA,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
19,GWO,0.9491525423728814,0.9230769230769231,0.9333333333333333,0.9655172413793104
20,GA,0.9152542372881356,0.8717948717948718,0.9,0.9310344827586207
20,GWO,0.9310344827586207,0.8974358974358975,0.9310344827586207,0.9310344827586207
21,GA,0.9491525423728814,0.9230769230769231,0.9333333333333333,0.9655172413793104
21,GWO,0.9152542372881356,0.8717948717948718,0.9,0.9310344827586207
22,GA,0.9310344827586207,0.8974358974358975,0.9310344827586207,0.9310344827586207
22,GWO,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
23,GA,0.9333333333333333,0.8974358974358975,0.9032258064516129,0.9655172413793104
23,GWO,0.9491525423728814,0.9230769230769231,0.9333333333333333,0.9655172413793104
24,GA,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
24,GWO,0.9152542372881356,0.8717948717948718,0.9,0.9310344827586207
25,GA,0.9508196721311475,0.9230769230769231,0.90625,1.0
25,GWO,0.9310344827586207,0.8974358974358975,0.9310344827586207,0.9310344827586207
26,GA,0.9354838709677419,0.8974358974358975,0.8787878787878788,1.0
26,GWO,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
27,GA,0.9508196721311475,0.9230769230769231,0.90625,1.0
27,GWO,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
28,GA,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
28,GWO,0.9473684210526315,0.9230769230769231,0.9642857142857143,0.9310344827586207
29,GA,0.9333333333333333,0.8974358974358975,0.9032258064516129,0.9655172413793104
29,GWO,0.9310344827586207,0.8974358974358975,0.9310344827586207,0.9310344827586207
30,GA,0.9666666666666667,0.9487179487179487,0.9354838709677419,1.0
30,GWO,0.9508196721311475,0.9230769230769231,0.90625,1.0
